universidad_nombre,institucion_nombre,institucion_direccion,api,coordenadas,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,lat,lon,departamento_id,departamento_nombre,municipio_id,municipio_nombre,provincia_id,provincia_nombre,latitud,longitud
Instituto Universitario ISEDET,Instituto Universitario ISEDET,Camacua 282,,"-34.6307959,-58.4656187",,,,,,,,,,,,,,,,,,,,,,-34.6307959,-58.4656187,2049,Comuna 7,,,2,Ciudad Autonoma de Buenos Aires,-34.6307959,-58.4656187
Instituto Universitario Italiano de Rosario,Instituto Universitario Italiano de Rosario,Crespo 843,,"-32.9415838,-60.6705633",,,,,,,,,,,,,,,,,,,,,,-32.9415838,-60.6705633,82084,Rosario,,,82,Santa Fe,-32.9415838,-60.6705633
"Instituto Universitario Nacional de Derechos Humanos ""Madres de Plaza de Mayo""","Instituto Universitario Nacional de Derechos Humanos ""Madres de Plaza de Mayo""",Av. Pueyrredon 19,,"-34.6097284,-58.4079993",,,,,,,,,,,,,,,,,,,,,,-34.6097284,-58.4079993,2021,Comuna 3,,,2,Ciudad Autonoma de Buenos Aires,-34.6097284,-58.4079993
Instituto Universitario Nacional del Arte,Instituto Universitario Nacional del Arte,Azcuenaga 1129,,"-34.5946906,-58.4018519",,,,,,,,,,,,,,,,,,,,,,-34.5946906,-58.4018519,2014,Comuna 2,,,2,Ciudad Autonoma de Buenos Aires,-34.5946906,-58.4018519
Instituto Universitario Naval,Instituto Universitario Naval,Francisco Narciso de Laprida 555,,"-34.5945248,-58.469703",,,,,,,,,,,,,,,,,,,,,,-34.5945248,-58.469703,2105,Comuna 15,,,2,Ciudad Autonoma de Buenos Aires,-34.5945248,-58.469703
Instituto Universitario Patagonico de las Artes,Instituto Universitario Patagonico de las Artes,"Rivadavia 2263,",,"-39.0178878,-67.5960898",,,,,,,,,,,,,,,,,,,,,,-39.0178878,-67.5960898,62042,General Roca,620161,Gral. Roca,62,Rio Negro,-39.0178878,-67.5960898
Instituto Universitario River Plate,Instituto Universitario River Plate,Av. Pres. Figueroa Alcorta 7597,,"-34.5453018,-58.4519636",,,,,,,,,,,,,,,,,,,,,,-34.5453018,-58.4519636,2091,Comuna 13,,,2,Ciudad Autonoma de Buenos Aires,-34.5453018,-58.4519636
Pontificia Universidad Catolica Argentina Santa Maria de los Buenos Aires,Pontificia Universidad Catolica Argentina Santa Maria de los Buenos Aires,AvENIDA Alicia Moreau de Justo 1600,http://apis.datos.gob.ar/georef/api/direcciones?direccion=AvENIDA Alicia Moreau de Justo 1600&provincia=2,"-34.6148453,-58.3668853",,,,,,,,,,,,,,,,,,,,,,-34.6148453,-58.3668853,2007,Comuna 1,,,2,Ciudad Autonoma de Buenos Aires,-34.6148453,-58.3668853
Universidad  Favaloro,Universidad  Favaloro,Av. Entre Rios 495,,"-34.6148113,-58.3940258",,,,,,,,,,,,,,,,,,,,,,-34.6148113,-58.3940258,2021,Comuna 3,,,2,Ciudad Autonoma de Buenos Aires,-34.6148113,-58.3940258
Universidad Abierta Interamericana,Universidad Abierta Interamericana,Av. San Juan 951,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. San Juan 951&provincia=2,"-34.6221199173329, -58.379325181549746",,,,,,,,,,,,,,,,,,,,,,-34.6221199173329,-58.379325181549700,2007,Comuna 1,,,2,Ciudad Autonoma de Buenos Aires,-34.6221199173329,-58.379325181549700
Universidad Adventista del Plata,Universidad Adventista del Plata,25 de mayo 99,http://apis.datos.gob.ar/georef/api/direcciones?direccion=25 de mayo 99,"-32.0759594,-60.4665987",,,,,,,,,,,,,,,,,,,,,,-32.0759594,-60.4665987,30021,Diamante,,,30,Entre Rios,-32.0759594,-60.4665987
Universidad Argentina de la Empresa,Universidad Argentina de la Empresa,Lima 775,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Lima 775,"-34.6173746323554,-58.381525671564",,,,,,,,,,,,,,,,,,,,,,-34.6173746323554,-58.381525671564,2007,Comuna 1,,,2,Ciudad Autonoma de Buenos Aires,-34.6173746323554,-58.381525671564
Universidad Argentina John F. Kennedy,Universidad Argentina John F. Kennedy,Bartolome Mitre 1411,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Bartolome Mitre 1411&provincia=2,"-34.60762266844467,-58.38645625343852",,,,,,,,,,,,,,,,,,,,,,-34.60762266844470,-58.38645625343850,2007,Comuna 1,,,2,Ciudad Autonoma de Buenos Aires,-34.60762266844470,-58.38645625343850
Universidad Atlantida Argentina,Universidad Atlantida Argentina,Belgrano 89,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Belgrano 89&provincia=6,"-37.1552476,-57.7427199",,,,,,,,,,,,,,,,,,,,,,-37.1552476,-57.7427199,6518,Mar Chiquita,60518,Mar Chiquita,6,Buenos Aires,-37.1552476,-57.7427199
