universidad_nombre,institucion_nombre,institucion_direccion,api,coordenadas,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,lat,lon,departamento_id,departamento_nombre,municipio_id,municipio_nombre,provincia_id,provincia_nombre,latitud,longitud
Universidad Nacional de Catamarca,Universidad Nacional de Catamarca,Esquiu 799,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Esquiu 799,"-28.459001,-65.7854021",,,,,,,,,,,,,,,,,,,,,,-28.459001,-65.7854021,10049,Capital,100140,San Fernando del Valle de Catamarca,10,Catamarca,-28.459001,-65.7854021
Universidad Nacional de Chilecito,Universidad Nacional de Chilecito,s/d,,"-29.1565622,-67.4730232",,,,,,,,,,,,,,,,,,,,,,-29.1565622,-67.4730232,46042,Chilecito,460042,Chilecito,46,La Rioja,-29.1565622,-67.4730232
Universidad Nacional de Cordoba,Universidad Nacional de Cordoba,Av. Haya de la Torre s/n,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Haya de la Torre s/n&provincia=14,"-31.4354809,-64.1877589",,,,,,,,,,,,,,,,,,,,,,-31.4354809,-64.1877589,14014,Capital,140077,Cordoba,14,Cordoba,-31.4354809,-64.1877589
Universidad Nacional de Cuyo,Universidad Nacional de Cuyo,"Centro Universitario, M5500",,"-32.8807275,-68.8801746",,,,,,,,,,,,,,,,,,,,,,-32.8807275,-68.8801746,50007,Capital,500007,Capital,50,Mendoza,-32.8807275,-68.8801746
Universidad Nacional de Entre rios,Universidad Nacional de Entre rios,Eva Peron 24,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Eva Peron 24,"-31.624005177104273,-58.50507853279984",,,,,,,,,,,,,,,,,,,,,,-31.624005177104300,-58.50507853279980,30088,San Salvador,,,30,Entre Rios,-31.624005177104300,-58.50507853279980
Universidad Nacional de Formosa,Universidad Nacional de Formosa,Av. formosa 3200,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. formosa 3200,"-26.1921994,-58.2024444",,,,,,,,,,,,,,,,,,,,,,-26.1921994,-58.2024444,34014,Formosa,340028,Formosa,34,Formosa,-26.1921994,-58.2024444
Universidad Nacional de General Sarmiento,Universidad Nacional de General Sarmiento,Juan Maria Gutierrez 1150,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Juan Maria Gutierrez 1150&provincia=6,"-34.492332720554565, -58.664685936227905",,,,,,,,,,,,,,,,,,,,,,-34.492332720554600,-58.664685936227900,6515,Malvinas Argentinas,60515,Malvinas Argentinas,6,Buenos Aires,-34.492332720554600,-58.664685936227900
Universidad Nacional de Hurlingham,Universidad Nacional de Hurlingham,Tte. Manuel Origone 151,,"-34.6174248,-58.6369253",,,,,,,,,,,,,,,,,,,,,,-34.6174248,-58.6369253,6408,Hurlingham,60408,Hurlingham,6,Buenos Aires,-34.6174248,-58.6369253
Universidad Nacional de Jujuy,Universidad Nacional de Jujuy,Av. Bolivia 1239,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Bolivia 1239,"-24.1826176,-65.3203807",,,,,,,,,,,,,,,,,,,,,,-24.1826176,-65.3203807,38021,Dr. Manuel Belgrano,380035,San Salvador de Jujuy,38,Jujuy,-24.1826176,-65.3203807
Universidad Nacional de La Matanza,Universidad Nacional de La Matanza,Florencio Varela 1903,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Florencio Varela 1903&provincia=6,"-34.67069602536431,-58.5625432692672",,,,,,,,,,,,,,,,,,,,,,-34.67069602536430,-58.5625432692672,6427,La Matanza,60427,La Matanza,6,Buenos Aires,-34.67069602536430,-58.5625432692672
Universidad Nacional de La Pampa,Universidad Nacional de La Pampa,Uruguay 151,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Uruguay 151,"-36.1446255,-64.5963517",,,,,,,,,,,,,,,,,,,,,,-36.1446255,-64.5963517,42035,Conhelo,420098,Conhelo,42,La Pampa,-36.1446255,-64.5963517
Universidad Nacional de la Patagonia Austral,Universidad Nacional de la Patagonia Austral,"Ruta Nacional 3, Z9011","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Ruta Nacional 3, Z9011","-46.4336028,-67.5229963",,,,,,,,,,,,,,,,,,,,,,-46.4336028,-67.5229963,78014,Deseado,,,78,Santa Cruz,-46.4336028,-67.5229963
Universidad Nacional de la Patagonia San Juan Bosco,Universidad Nacional de la Patagonia San Juan Bosco,Sarmiento 849,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Sarmiento 849&provincia=26,"-42.91147305328778,-71.32234601161547",,,,,,,,,,,,,,,,,,,,,,-42.91147305328780,-71.32234601161550,26035,Futaleufu,260077,Esquel,26,Chubut,-42.91147305328780,-71.32234601161550
Universidad Nacional de La Plata,Universidad Nacional de La Plata,Av. 7 776,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. 7 776&provincia=6,"-34.89439984475497,-57.97717980074897",,,,,,,,,,,,,,,,,,,,,,-34.89439984475500,-57.97717980074900,6441,La Plata,60441,La Plata,6,Buenos Aires,-34.89439984475500,-57.97717980074900
Universidad Nacional de La Rioja,Universidad Nacional de La Rioja,Av. Luis M. de la Fuente,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Luis M. de la Fuente,"-29.4298962,-66.8709593",,,,,,,,,,,,,,,,,,,,,,-29.4298962,-66.8709593,46014,Capital,460014,Capital,46,La Rioja,-29.4298962,-66.8709593
Universidad Nacional de Lanus,Universidad Nacional de Lanus,29 de septiembre 3901,http://apis.datos.gob.ar/georef/api/direcciones?direccion=29 de septiembre 3901&provincia=6,"-34.7355208,-58.3932694",,,,,,,,,,,,,,,,,,,,,,-34.7355208,-58.3932694,6434,Lanus,60434,Lanus,6,Buenos Aires,-34.7355208,-58.3932694
Universidad Nacional de las Artes,Universidad Nacional de las Artes,Av. Ing Huergo 1433,,"-34.6094209,-58.4066206",,,,,,,,,,,,,,,,,,,,,,-34.6094209,-58.4066206,2021,Comuna 3,,,2,Ciudad Autonoma de Buenos Aires,-34.6094209,-58.4066206
Universidad Nacional de Lomas de Zamora,Universidad Nacional de Lomas de Zamora,Camino de Cintura y Juan XXIII,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Camino de Cintura y Juan XXIII&provincia=6,"-34.7765037,-58.4591023",,,,,,,,,,,,,,,,,,,,,,-34.7765037,-58.4591023,6490,Lomas de Zamora,60490,Lomas de Zamora,6,Buenos Aires,-34.7765037,-58.4591023
Universidad Nacional de Lujan,Universidad Nacional de Lujan,"Avenida Constitucion, Ruta 5","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Avenida Constitucion, Ruta 5&provincia=6","-34.5774091,-59.0909557",,,,,,,,,,,,,,,,,,,,,,-34.5774091,-59.0909557,6497,Lujan,60497,Lujan,6,Buenos Aires,-34.5774091,-59.0909557
Universidad Nacional de Mar del Plata,Universidad Nacional de Mar del Plata,"Dean Funes 3350,","http://apis.datos.gob.ar/georef/api/direcciones?direccion=Dean Funes 3350,&provincia=6","-38.0057920156254,-57.5715790666085",,,,,,,,,,,,,,,,,,,,,,-38.0057920156254,-57.5715790666085,6357,General Pueyrredon,60357,General Pueyrredon,6,Buenos Aires,-38.0057920156254,-57.5715790666085
Universidad Nacional de Misiones,Universidad Nacional de Misiones,Fernando Elias LLamosas 9400,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Fernando Elias LLamosas 9400,"-27.3996326,-55.9256125",,,,,,,,,,,,,,,,,,,,,,-27.3996326,-55.9256125,54028,Capital,540119,Posadas,54,Misiones,-27.3996326,-55.9256125
Universidad Nacional de Moreno,Universidad Nacional de Moreno,Av. Bartolome Mitre 1891,,"-34.6525807,-58.7791501",,,,,,,,,,,,,,,,,,,,,,-34.6525807,-58.7791501,6560,Moreno,60560,Moreno,6,Buenos Aires,-34.6525807,-58.7791501
Universidad Nacional de Quilmes,Universidad Nacional de Quilmes,Roque Saenz Peña 352,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Roque Saenz Peña 352&provincia=6,"-34.7064966,-58.2807187",,,,,,,,,,,,,,,,,,,,,,-34.7064966,-58.2807187,6658,Quilmes,60658,Quilmes,6,Buenos Aires,-34.7064966,-58.2807187
Universidad Nacional de Rafaela,Universidad Nacional de Rafaela,Bv. Pres. Julio A. Roca 989,,"-31.2511417,-61.5046662",,,,,,,,,,,,,,,,,,,,,,-31.2511417,-61.5046662,82021,Castellanos,820042,Rafaela,82,Santa Fe,-31.2511417,-61.5046662
Universidad Nacional de rio Cuarto,Universidad Nacional de rio Cuarto,Ruta Nac. 36 - Km. 601,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Ruta Nac. 36 - Km. 601&provincia=14,"-33.084594014186514,-64.3349444221352",,,,,,,,,,,,,,,,,,,,,,-33.084594014186500,-64.3349444221352,14098,Rio Cuarto,140861,Rio Cuarto,14,Cordoba,-33.084594014186500,-64.3349444221352
Universidad Nacional de rio Negro,Universidad Nacional de rio Negro,Don Bosco 500,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Don Bosco 500,"-39.0279881065646, -67.58044691129079",,,,,,,,,,,,,,,,,,,,,,-39.0279881065646,-67.58044691129080,62042,General Roca,620161,Gral. Roca,62,Rio Negro,-39.0279881065646,-67.58044691129080
Universidad Nacional de Rosario,Universidad Nacional de Rosario,Maipu 1065,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Maipu 1065&provincia=82,"-32.950309649805945,-60.636126952347716",,,,,,,,,,,,,,,,,,,,,,-32.950309649805900,-60.636126952347700,82084,Rosario,,,82,Santa Fe,-32.950309649805900,-60.636126952347700
Universidad Nacional de Salta,Universidad Nacional de Salta,Av Bolivia 5150,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av Bolivia 5150&provincia=66,"-24.7280281,-65.4114867",,,,,,,,,,,,,,,,,,,,,,-24.7280281,-65.4114867,66028,Capital,660063,Salta,66,Salta,-24.7280281,-65.4114867
Universidad Nacional de San Juan,Universidad Nacional de San Juan,Mitre 396,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Mitre 396,"-31.5354691,-68.5412352,15",,,,,,,,,,,,,,,,,,,,,,-31.5354691,-68.5412352,70028,Capital,700028,San Juan,70,San Juan,-31.5354691,-68.5412352
Universidad Nacional de San Luis,Universidad Nacional de San Luis,Ejercito de los Andes 950,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Ejercito de los Andes 950,"-33.2962223,-66.3441194",,,,,,,,,,,,,,,,,,,,,,-33.2962223,-66.3441194,74056,Juan Martin de Pueyrredon,740133,San Luis,74,San Luis,-33.2962223,-66.3441194
Universidad Nacional de San Martin,Universidad Nacional de San Martin,Ramsay 2250,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Ramsay 2250,"-34.550664100769964,-58.441134539431594",,,,,,,,,,,,,,,,,,,,,,-34.550664100770000,-58.441134539431600,2091,Comuna 13,,,2,Ciudad Autonoma de Buenos Aires,-34.550664100770000,-58.441134539431600
Universidad Nacional de Santiago del Estero,Universidad Nacional de Santiago del Estero,Avenida Belgrano Sur 1912,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Avenida Belgrano Sur 1912,"-27.8014246,-64.2531763",,,,,,,,,,,,,,,,,,,,,,-27.8014246,-64.2531763,86049,Capital,,,86,Santiago del Estero,-27.8014246,-64.2531763
"Universidad Nacional de Tierra del Fuego, Antartida e Islas del Atlantico Sur","Universidad Nacional de Tierra del Fuego, Antartida e Islas del Atlantico Sur",Fuegia Basket 251,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Fuegia Basket 251&provincia=94,"-54.81888630058655, -68.32552591092275",,,,,,,,,,,,,,,,,,,,,,-54.81888630058660,-68.32552591092280,94015,Ushuaia,940014,Ushuaia,94,"Tierra del Fuego, Antartida e Islas del Atlantico Sur",-54.81888630058660,-68.32552591092280
Universidad Nacional de Tres de Febrero,Universidad Nacional de Tres de Febrero,Av. Gral. Mosconi 2736,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Gral. Mosconi 2736&provincia=6,"-34.6050318,-58.5665275",,,,,,,,,,,,,,,,,,,,,,-34.6050318,-58.5665275,6840,Tres de Febrero,60840,Tres de Febrero,6,Buenos Aires,-34.6050318,-58.5665275
Universidad Nacional de Tucuman,Universidad Nacional de Tucuman,Batalla de Ayacucho 491,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Batalla de Ayacucho 491,"-26.8363912,-65.2133295",,,,,,,,,,,,,,,,,,,,,,-26.8363912,-65.2133295,90084,Capital,900014,Municipalidad de San Miguel De Tucuman,90,Tucuman,-26.8363912,-65.2133295
Universidad Nacional de Villa Maria,Universidad Nacional de Villa Maria,Arturo Jauretche 1555,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Arturo Jauretche 1555&provincia=14,"-32.3995102,-63.2651483",,,,,,,,,,,,,,,,,,,,,,-32.3995102,-63.2651483,14042,General San Martin,140357,Villa Maria,14,Cordoba,-32.3995102,-63.2651483
Universidad Nacional de Villa Mercedes,Universidad Nacional de Villa Mercedes,Las Heras 383,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Las Heras 383,"-33.6865689,-65.4698988",,,,,,,,,,,,,,,,,,,,,,-33.6865689,-65.4698988,74035,General Pedernera,740077,Villa Mercedes,74,San Luis,-33.6865689,-65.4698988
Universidad Nacional del Centro de la Provincia de Buenos Aires,Universidad Nacional del Centro de la Provincia de Buenos Aires,Pinto 399,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Pinto 399&provincia=6,"-37.3285417102325,-59.1380501689951",,,,,,,,,,,,,,,,,,,,,,-37.3285417102325,-59.1380501689951,6791,Tandil,60791,Tandil,6,Buenos Aires,-37.3285417102325,-59.1380501689951
Universidad Nacional del Chaco Austral,Universidad Nacional del Chaco Austral,Fernandez 755,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Fernandez 755,"-26.8017124,-60.4491146",,,,,,,,,,,,,,,,,,,,,,-26.8017124,-60.4491146,22021,Comandante Fernandez,220077,Presidencia Roque Saenz Peña,22,Chaco,-26.8017124,-60.4491146
Universidad Nacional del Comahue,Universidad Nacional del Comahue,Av. Santa Fe 1845,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Santa Fe 1845&provincia=2,"-34.59583822943477,-58.393932130303796",,,,,,,,,,,,,,,,,,,,,,-34.59583822943480,-58.393932130303800,2014,Comuna 2,,,2,Ciudad Autonoma de Buenos Aires,-34.59583822943480,-58.393932130303800
Universidad Nacional del Litoral,Universidad Nacional del Litoral,San Jeronimo 3231,http://apis.datos.gob.ar/georef/api/direcciones?direccion=San Jeronimo 3231&provincia=82,"-31.638260020689607, -60.70559340518095",,,,,,,,,,,,,,,,,,,,,,-31.638260020689600,-60.70559340518100,82063,La Capital,820147,Santa Fe,82,Santa Fe,-31.638260020689600,-60.70559340518100
Universidad Nacional del Nordeste,Universidad Nacional del Nordeste,25 de mayo 868,http://apis.datos.gob.ar/georef/api/direcciones?direccion=25 de mayo 868,"-27.4607657,-58.9542543",,,,,,,,,,,,,,,,,,,,,,-27.4607657,-58.9542543,22140,San Fernando,220413,Resistencia,22,Chaco,-27.4607657,-58.9542543
Universidad Nacional del Noroeste de la Provincia de Buenos Aires,Universidad Nacional del Noroeste de la Provincia de Buenos Aires,Roque Saenz Peña 456,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Roque Saenz Peña 456&provincia=6,"-34.861684718919854, -61.52755638690734",,,,,,,,,,,,,,,,,,,,,,-34.861684718919900,-61.52755638690730,6469,Lincoln,60469,Lincoln,6,Buenos Aires,-34.861684718919900,-61.52755638690730
Universidad Nacional del Oeste,Universidad Nacional del Oeste,Gral. Manuel Belgrano 369,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Gral. Manuel Belgrano 369&provincia=6,"-34.65254628739099,-58.62119862036371",,,,,,,,,,,,,,,,,,,,,,-34.65254628739100,-58.62119862036370,6568,Moron,60568,Moron,6,Buenos Aires,-34.65254628739100,-58.62119862036370
Universidad Nacional del Sur,Universidad Nacional del Sur,Av. Alem 1253,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Alem 1253&provincia=6,"-38.67866305629395,-62.29611089500422",,,,,,,,,,,,,,,,,,,,,,-38.67866305629400,-62.29611089500420,6056,Bahia Blanca,60056,Bahia Blanca,6,Buenos Aires,-38.67866305629400,-62.29611089500420
Universidad Nacional Jose C. Paz,Universidad Nacional Jose C. Paz,Leandro N. Alem 4731,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Leandro N. Alem 4731&provincia=6,"-34.521483660692496,-58.745796901146605",,,,,,,,,,,,,,,,,,,,,,-34.521483660692500,-58.745796901146600,6412,Jose C. Paz,60412,Jose C. Paz,6,Buenos Aires,-34.521483660692500,-58.745796901146600
Universidad Notarial Argentina,Universidad Notarial Argentina,Av. 51 435,,"-34.750524,-58.308108",,,,,,,,,,,,,,,,,,,,,,-34.750524,-58.308108,6658,Quilmes,60658,Quilmes,6,Buenos Aires,-34.750524,-58.308108
Universidad Pedagogica Nacional,Universidad Pedagogica Nacional,Piedras 1080,,"-34.61955811945053,-58.37559426109925",,,,,,,,,,,,,,,,,,,,,,-34.61955811945050,-58.37559426109930,2007,Comuna 1,,,2,Ciudad Autonoma de Buenos Aires,-34.61955811945050,-58.37559426109930
Universidad Popular Madres de Plaza de Mayo,Universidad Popular Madres de Plaza de Mayo,Av. Hipolito Yrigoyen 1584,,"-34.6100495,-58.3908878",,,,,,,,,,,,,,,,,,,,,,-34.6100495,-58.3908878,2007,Comuna 1,,,2,Ciudad Autonoma de Buenos Aires,-34.6100495,-58.3908878
Universidad Provincial de Ezeiza,Universidad Provincial de Ezeiza,Alfonsina Storni 41,,"-34.7895235,-58.5231426",,,,,,,,,,,,,,,,,,,,,,-34.7895235,-58.5231426,6270,Jose M. Ezeiza,60270,Ezeiza,6,Buenos Aires,-34.7895235,-58.5231426
Universidad Provincial del Sudoeste,Universidad Provincial del Sudoeste,Cd. de Cali 320,,"-36.6196788,-62.5506754",,,,,,,,,,,,,,,,,,,,,,-36.6196788,-62.5506754,6399,Guamini,60399,Guamini,6,Buenos Aires,-36.6196788,-62.5506754
Universidad Salesiana Argentina,Universidad Salesiana Argentina,Gorriti 1249,,"-38.7225345,-62.282452",,,,,,,,,,,,,,,,,,,,,,-38.7225345,-62.282452,6056,Bahia Blanca,60056,Bahia Blanca,6,Buenos Aires,-38.7225345,-62.282452
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Sarmiento 440,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Sarmiento 440&provincia=2,"-34.61847060349939,-58.45044388901235",,,,,,,,,,,,,,,,,,,,,,-34.61847060349940,-58.45044388901240,2042,Comuna 6,,,2,Ciudad Autonoma de Buenos Aires,-34.61847060349940,-58.45044388901240
Universidad Torcuato Di Tella,Universidad Torcuato Di Tella,Av. Pres. Figueroa Alcorta 7350,,"-34.5476972,-58.4489394",,,,,,,,,,,,,,,,,,,,,,-34.5476972,-58.4489394,2091,Comuna 13,,,2,Ciudad Autonoma de Buenos Aires,-34.5476972,-58.4489394
Universita Degli Studi di Bologna,Universita Degli Studi di Bologna,"Via Zamboni, 33",,"44.4679091,11.2955076,12",,,,,,,,,,,,,,,,,,,,,,44.4679091,11.2955076,,,,,,,44.4679091,11.2955076
Universidad Autonoma de Entre Rios,Universidad Autonoma de Entre Rios,Av. Francisco Ramírez 1143,,"-31.727147, -60.514132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Mendoza,"Coronel Rodríguez 273, Ciudad - Capital, M5500 Mendoza",,"-32.896902, -68.853584",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Concordia,"Salta 277, E3200 EKE, Entre Ríos",,"-31.394245, -58.012192",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Unidad Academica Mar del Plata,"Mar del Plata, Av. Dorrego 281, B7600 CLF, Buenos Aires",,"-38.049150, -57.542411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Reconquista,"Parque Industrial Reconquista, Calle 44 1000, S3560 Reconquista, Santa Fe",,"-29.146406, -59.664216",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Concepcion del Uruguay,"BTD Concepción del Uruguay Entre Ríos AR, Ing Pereyra 676, E3264",,"-32.495728, -58.229429",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Cordoba,"Maestro M. Lopez esq. Cruz Roja, Córdoba",,"-31.442376, -64.192642",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Santa Fe,"Lavaisse 610, S3004 EWB, Santa Fe",,"-31.616705, -60.675676",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Villa Maria,"Av. Universidad 450, X5900 Villa María, Córdoba",,"-32.408926, -63.218122",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Haedo,"París 532, B1706EAH Haedo, Buenos Aires",,"-34.640358, -58.602258",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional rio Grande,"Islas Malvinas 1650, V9420 Río Grande, Tierra del Fuego",,"-53.786433, -67.726421",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Rafaela,"Acuña 49, S2300 Rafaela, Santa Fe",,"-31.247815, -61.471250",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Unidad Academica Concordia,"Salta 277, E3200 EKE, Entre Ríos",,"-31.394282, -58.012407
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional del Neuquen,"Av. Reverendo Pedro Rotter, Q8318 Plaza Huincul, Neuquén",,"-38.922009, -69.183374",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional San Francisco,"Av. de la Universidad 501, 2400, X2400 San Francisco, Córdoba",,"-31.421165, -62.110763",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Chubut,"Av. del Trabajo, U9120QGQ, Puerto Madryn, Chubut",,"-42.769285, -65.055430",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Trenque Lauquen,"Racedo 298, Trenque Lauquen, Buenos Aires",,"-35.985903, -62.727093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Mar del Plata,"Mar del Plata, Av. Dorrego 281, B7600 CLF, Buenos Aires",,"-38.049167, -57.542679",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Avellaneda,"Av. Bartolomé Mitre 750, B1870 AAU, Buenos Aires",,"-34.662319, -58.364673",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Santa Cruz,"Av. de los Inmigrantes 555, Río Gallegos, Santa Cruz",,"-51.634990, -69.218863",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Venado Tuerto,"Laprida 651, S2600 Venado Tuerto, Santa Fe",,"-33.741112, -61.948621",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional La rioja,"Av. San Nicolás de Bari 1100, F5300 La Rioja",,"-29.409282, -66.831225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Tierra del Fuego,"Islas Malvinas 1650, V9420 Río Grande, Tierra del Fuego",,"-53.786433, -67.726421",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Tucuman,"Bernardino Rivadavia 1050, T4001JJD San Miguel de Tucumán, Tucumán",,"-26.817167, -65.198619",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional San Rafael,"Av. Gral. J. J. de Urquiza 314, M5600 San Rafael, Mendoza",,"-34.601548, -68.327778",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional La Plata,"Av. del Petroleo Argentino 417, Berisso, Buenos Aires",,"-34.904030, -57.924824",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Unidad Academica La rioja,"Av. San Nicolás de Bari 1100, F5300 La Rioja",,"-29.409282, -66.831225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Bahia Blanca,"11 de Abril 461, B8000 Bahía Blanca, Buenos Aires",,"-38.710330, -62.264573",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional General Pacheco,"Av. Hipólito Yrigoyen 288, Gral. Pacheco, Buenos Aires",,"-34.456600, -58.623760",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Buenos Aires,"Av. Medrano 951, C1179 AAQ, Buenos Aires",,"-34.598712, -58.420055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Parana,"Av. Almafuerte 1033, E3102 SLK, Entre Ríos",,"-31.749467, -60.504221",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional San Nicolas,"Colón 332, B2900LWH San Nicolás de Los Arroyos, Buenos Aires",,"-33.332260, -60.206182",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Rosario,"Zeballos 1341, S2000 Rosario, Santa Fe",,"-32.954580, -60.644244",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional La Rioja,"Av. San Nicolás de Bari 1100, F5300 La Rioja",,"-29.409282, -66.831225",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
