carrera,carrera_grupo,Carrera_normalizada
Licenciatura en Administración Rural,Economicas,Administracion Agraria
Licenciatura en Administración y Gestión de Agronegocios,Economicas,Administracion Agraria
Licenciatura en Agronegocios,Economicas,Administracion Agraria
Licenciatura en Agronegocios - Ciclo de Licenciatura,Economicas,Administracion Agraria
Licenciatura en Economía y Administración Agrarias,Economicas,Administracion Agraria
Licenciatura en Gestión de Agroalimentos,Economicas,Administracion Agraria
Licenciatura en Gestión de Agroempresas - Ciclo de Complementacion Curricular - MD,Economicas,Administracion Agraria
Licenciatura en Gestión de Empresas Agroindustriales,Economicas,Administracion Agraria
Licenciatura en Gestión de Empresas Agropecuarias,Economicas,Administracion Agraria
Licenciatura en Produccion Agropecuaria - Ciclo de Complementacion Curricular,Naturales,Administracion Agraria
Licenciatura en Produccion y Gestión Agropecuaria,Economicas,Administracion Agraria
Magister de la Universidad de Buenos Aires en Agronegocios y Alimentos,Economicas,Administracion Agraria
"Magister de la Universidad de Buenos Aires, area Economía Agraria",Economicas,Administracion Agraria
Magister en Agroeconomia,Economicas,Administracion Agraria
Magister en Agronegocios,Economicas,Administracion Agraria
Magister en Agronegocios y Alimentos,Economicas,Administracion Agraria
Magister en Gerenciamiento de Empresas Agroalimentarias,Economicas,Administracion Agraria
Magister en Gerenciamiento de Negocios Agroindustriales,Economicas,Administracion Agraria
Magister en Gerenciamiento Estrategico Vitivinicola,Economicas,Administracion Agraria
Magister en Gestión de la Empresa Agroalimentaria,Economicas,Administracion Agraria
Magister en Produccion Agropecuaria en Regiones Semiaridas,Economicas,Administracion Agraria
Magister Scientiae en Economía Agraria,Economicas,Administracion Agraria
Tecnicatura en Administración de Empresas Agropecuarias,Economicas,Administracion Agraria
Tecnicatura en Administración de Empresas Agropecuarias - MD,Economicas,Administracion Agraria
Tecnicatura en Administración de Empresas con Orientación en Agropecuaria y Agroindustrial,Economicas,Administracion Agraria
Tecnicatura en Agronegocios,Economicas,Administracion Agraria
Tecnicatura en Gestión Agropecuaria,Economicas,Administracion Agraria
Tecnicatura en Gestión de Empresas Agricolas,Economicas,Administracion Agraria
Tecnicatura en Gestión de Empresas Pecuarias,Economicas,Administracion Agraria
Tecnicatura Universitaria en Administración Agraria,Economicas,Administracion Agraria
Tecnicatura Universitaria en Administración Agropecuaria,Economicas,Administracion Agraria
Tecnicatura Universitaria en Administración de Empresas Agropecuarias,Economicas,Administracion Agraria
Tecnicatura Universitaria en Administración Rural,Economicas,Administracion Agraria
Tecnicatura Universitaria en Administración y Planificacion Agraria,Economicas,Administracion Agraria
Tecnicatura Universitaria en Emprendimientos Agroalimentaríos,Economicas,Administracion Agraria
Tecnicatura Universitaria en Emprendimientos Agropecuaríos,Economicas,Administracion Agraria
Tecnicatura Universitaria en Gestión de Empresas Agropecuarias - MD,Economicas,Administracion Agraria
Tecnicatura Universitaria en Gestión y Administración Rural,Economicas,Administracion Agraria
Tecnicatura Universitaria en Organizacion de Empresas Agropecuarias,Economicas,Administracion Agraria
Tecnicatura Universitaria en Recursos Naturales Renovables con Orientación en Produccion Acuicola,Economicas,Administracion Agraria
Tecnicatura Universitaria en Recursos Naturales Renovables con Orientación en Produccion Agropecuaria,Economicas,Administracion Agraria
Diplomado en Gestión de Servicios de Salud - MD,Salud,Administracion Hospitalaria y de Sistemas de Salud
Especialista en Administración de Salud con Orientación en Auditoria Bioquimica Integral,Salud,Administracion Hospitalaria y de Sistemas de Salud
Especialista en Administración de Servicios de la Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Especialista en Administración Hospitalaria,Salud,Administracion Hospitalaria y de Sistemas de Salud
Especialista en Administración y Gestión en Enfermeria,Salud,Administracion Hospitalaria y de Sistemas de Salud
Especialista en Calidad y Auditoria de la Atencion de la Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Especialista en Calidad y Auditoria de la Atencion Medica,Salud,Administracion Hospitalaria y de Sistemas de Salud
Especialista en Direccion de Sistemas de Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Especialista en Economía y Gestión de los Servicios de Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Especialista en Economía y Gestión de Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Especialista en Gestión de Calidad y Auditoria en Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Especialista en Gestión de la Calidad en Servicios de Salud con Mencion en Servicios de Enfermeria,Salud,Administracion Hospitalaria y de Sistemas de Salud
Especialista en Gestión de la Calidad en Servicios de Salud con Mencion en Servicios de Nutricion,Salud,Administracion Hospitalaria y de Sistemas de Salud
Especialista en Gestión de Organizacion de Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Especialista en Gestión Estrategica de Organizaciones de Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Especialista en Gestión y Direccion de Instituciones de Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
Especialista en Politicas y Administración en Salud Mental,Salud,Administracion Hospitalaria y de Sistemas de Salud
Licenciatura en Administración con Orientación en Salud y Seguros Sociales,Salud,Administracion Hospitalaria y de Sistemas de Salud
Licenciatura en Administración de Salud,Salud,Administracion Hospitalaria y de Sistemas de Salud
