anio,carrera_grupo,estudiantes_total,estudiantes_varones,estudiantes_mujeres,nuevos_inscriptos_total,nuevos_inscriptos_varones,nuevos_inscriptos_mujeres,egresados_total,egresados_varones,egresados_mujeres,estudiantes_mujeres_pct,inscripciones_mujeres_pct,estudiantes_hombres_pct
2013,Arquitectura y Urbanismo,61775.0,31078.0,30697.0,9475.0,4594.0,4881.0,3209.0,1375.0,1834.0,0.496916228247673,0.5151451187335092,0.503083771752327
2013,Artes,55049.0,23715.0,31334.0,15153.0,6718.0,8435.0,1551.0,606.0,945.0,0.5692019836872605,0.556655447766119,0.43079801631273956
2013,Comunicacion,113990.0,41703.0,72287.0,25826.0,10283.0,15543.0,6608.0,2093.0,4515.0,0.6341521186068954,0.6018353597150159,0.36584788139310465
2013,Diseño,50297.0,17713.0,32584.0,11051.0,4058.0,6993.0,2945.0,836.0,2109.0,0.6478318786408732,0.6327934123608723,0.3521681213591268
2013,Economicas,316511.0,148798.0,167713.0,68972.0,33412.0,35560.0,19082.0,8965.0,10117.0,0.5298804780876494,0.51557153627559,0.4701195219123506
2013,Educacion,147873.0,35738.0,112135.0,41752.0,10983.0,30769.0,10598.0,2192.0,8406.0,0.7583196391498109,0.7369467330906304,0.241680360850189
2013,Exactas,24882.0,12190.0,12692.0,6001.0,2788.0,3213.0,1680.0,757.0,923.0,0.5100876135358894,0.5354107648725213,0.4899123864641106
2013,"Hoteleria, Gastronomia y Turismo",25537.0,8262.0,17275.0,7185.0,2418.0,4767.0,1714.0,426.0,1288.0,0.6764694365038963,0.6634655532359082,0.3235305634961037
2013,Informatica,150698.0,124065.0,26633.0,32452.0,27087.0,5365.0,6740.0,5355.0,1385.0,0.17673094533437736,0.16532108960926908,0.8232690546656226
2013,Ingenieria,130946.0,104923.0,26023.0,27625.0,21483.0,6142.0,6200.0,4989.0,1211.0,0.19873077451774013,0.22233484162895928,0.8012692254822599
2013,Juridicas,258185.0,111728.0,146457.0,59047.0,26754.0,32293.0,21639.0,9117.0,12522.0,0.567256037337568,0.5469033143089403,0.432743962662432
2013,Naturales,117204.0,55773.0,61431.0,23824.0,11139.0,12685.0,6965.0,3375.0,3590.0,0.5241374014538753,0.5324462726662189,0.4758625985461247
2013,Otros,56939.0,31012.0,25927.0,21446.0,11457.0,9989.0,7360.0,3426.0,3934.0,0.45534695024499905,0.46577450340389814,0.544653049755001
2013,Psicologia,135979.0,25052.0,110927.0,31168.0,6401.0,24767.0,7874.0,1051.0,6823.0,0.8157656696989977,0.7946291067761807,0.18423433030100236
2013,Salud,286402.0,79357.0,207045.0,70255.0,19125.0,51130.0,25310.0,6543.0,18767.0,0.7229174377273901,0.7277773823927123,0.27708256227260986
2013,Sociales,112070.0,46668.0,65402.0,26941.0,11385.0,15556.0,5406.0,2064.0,3342.0,0.5835816900151691,0.5774098956980067,0.4164183099848309
2014,Arquitectura y Urbanismo,62618.0,31198.0,31420.0,9889.0,4882.0,5007.0,3474.0,1496.0,1978.0,0.5017726532307004,0.5063201537061381,0.4982273467692996
2014,Artes,57456.0,24450.0,33006.0,15798.0,6890.0,8908.0,1811.0,672.0,1139.0,0.5744569757727652,0.5638688441574883,0.4255430242272348
2014,Comunicacion,113655.0,42136.0,71519.0,27532.0,11227.0,16305.0,7050.0,2166.0,4884.0,0.6292640007038846,0.5922199622257737,0.37073599929611545
2014,Diseño,49983.0,17671.0,32312.0,11638.0,4275.0,7363.0,3200.0,840.0,2360.0,0.6464597963307525,0.6326688434438907,0.35354020366924754
2014,Economicas,321681.0,151385.0,170296.0,69644.0,34362.0,35282.0,19584.0,9206.0,10378.0,0.5293940270019056,0.5066050198150595,0.47060597299809437
2014,Educacion,149922.0,37273.0,112649.0,41932.0,10474.0,31458.0,10982.0,2379.0,8603.0,0.7513840530409146,0.7502146332156825,0.2486159469590854
2014,Exactas,24812.0,12238.0,12574.0,5792.0,2695.0,3097.0,1599.0,772.0,827.0,0.5067709172980815,0.5347030386740331,0.49322908270191845
2014,"Hoteleria, Gastronomia y Turismo",26527.0,8588.0,17939.0,7532.0,2686.0,4846.0,1850.0,479.0,1371.0,0.67625438232744,0.6433882103027084,0.32374561767256005
2014,Informatica,148723.0,123207.0,25516.0,33405.0,27945.0,5460.0,6812.0,5573.0,1239.0,0.1715672760770022,0.16344858554108666,0.8284327239229978
2014,Ingenieria,136684.0,108801.0,27883.0,28762.0,22329.0,6433.0,6867.0,5442.0,1425.0,0.2039960785461356,0.22366316667825603,0.7960039214538643
2014,Juridicas,265972.0,114340.0,151632.0,62883.0,28077.0,34806.0,21837.0,9222.0,12615.0,0.570105123847623,0.5535041267115118,0.4298948761523769
2014,Naturales,118377.0,55807.0,62570.0,24675.0,11306.0,13369.0,6702.0,3418.0,3284.0,0.5285655152605658,0.5418034447821681,0.47143448473943417
2014,Otros,59504.0,32471.0,27033.0,22554.0,12135.0,10419.0,6946.0,3255.0,3691.0,0.45430559290131756,0.4619579675445597,0.5456944070986824
2014,Psicologia,139727.0,25893.0,113834.0,32572.0,6887.0,25685.0,8612.0,1162.0,7450.0,0.8146886428535645,0.7885607270047894,0.18531135714643554
2014,Salud,294098.0,80733.0,213365.0,74874.0,20720.0,54154.0,23740.0,6296.0,17444.0,0.7254894626961081,0.723268424286134,0.2745105373038919
2014,Sociales,114480.0,47473.0,67007.0,28280.0,12096.0,16184.0,6110.0,2340.0,3770.0,0.5853162124388539,0.5722772277227722,0.41468378756114604
2015,Arquitectura y Urbanismo,62463.0,31019.0,31444.0,11193.0,5570.0,5623.0,4697.0,1962.0,2735.0,0.5034020139922835,0.502367551148039,0.49659798600771654
2015,Artes,58607.0,25164.0,33443.0,17181.0,7683.0,9498.0,1951.0,784.0,1167.0,0.57063149453137,0.5528199755543914,0.42936850546863004
2015,Comunicacion,113764.0,42249.0,71515.0,28689.0,11579.0,17110.0,7353.0,2362.0,4991.0,0.6286259273583911,0.596395831154798,0.37137407264160893
2015,Diseño,48145.0,17151.0,30994.0,11491.0,4237.0,7254.0,3471.0,963.0,2508.0,0.6437636306989303,0.6312766512923157,0.35623636930106967
2015,Economicas,324335.0,153108.0,171227.0,70553.0,34792.0,35761.0,21189.0,10100.0,11089.0,0.5279325388872617,0.5068671778662849,0.4720674611127384
