anio,institucion_tipo,institucion_nombre,institucion_nombre_new,institucion_nombre_unidad_academica,unidad_academica,unidad_academica_new,carrera_titulo,institucion_gestion,carrera_titulo_nivel,Modalidad,estudiantes_total,estudiantes_varones,estudiantes_mujeres,nuevos_inscriptos_total,nuevos_inscriptos_varones,nuevos_inscriptos_mujeres,reinscriptos_total,reinscriptos_varones,reinscriptos_mujeres,egresados_total,egresados_varones,egresados_mujeres,carrera,carrera_grupo,Carrera_normalizada
2011,Universidad,Universidad Nacional del Centro de la Provincia de Buenos Aires,Universidad Nacional del Centro de la Provincia de Buenos Aires,Universidad Nacional del Centro de la Provincia de Buenos Aires - Unidad de Enseñanza Universitaria Quequen,Unidad de Enseñanza Universitaria Quequen,Unidad de Enseñanza Universitaria Quequen,Ingenieria,Estatal,Grado,Presencial,78.0,65.0,13.0,26.0,23.0,3.0,52.0,42.0,10.0,,,,,,
2011,Universidad,Universidad Nacional de Cordoba,Universidad Nacional de Cordoba,Universidad Nacional de Cordoba - Facultad de Filosofia y Humanidades,Facultad de Filosofia y Humanidades,Facultad de Filosofia y Humanidades,Profesor Superior de Artes Plasticas,Estatal,Grado,Presencial,659.0,159.0,500.0,170.0,53.0,117.0,489.0,106.0,383.0,,,,,,
2012,Universidad,Universidad Nacional del Centro de la Provincia de Buenos Aires,Universidad Nacional del Centro de la Provincia de Buenos Aires,Universidad Nacional del Centro de la Provincia de Buenos Aires - Unidad de Enseñanza Universitaria Quequen,Unidad de Enseñanza Universitaria Quequen,Unidad de Enseñanza Universitaria Quequen,Ingenieria,Estatal,Grado,Presencial,71.0,61.0,10.0,28.0,24.0,4.0,43.0,37.0,6.0,,,,,,
2012,Universidad,Universidad Nacional de Cordoba,Universidad Nacional de Cordoba,Universidad Nacional de Cordoba - Facultad de Artes,Facultad de Artes,Facultad de Artes,Profesor Superior de Artes Plasticas,Estatal,Grado,Presencial,472.0,104.0,368.0,143.0,33.0,110.0,329.0,71.0,258.0,,,,,,
2013,Universidad,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste - Facultad de Ciencias Economicas,Facultad de Ciencias Economicas,Facultad de Ciencias Economicas,Ciencias Economicas,Estatal,Grado,Presencial,2124.0,1018.0,1106.0,1365.0,662.0,703.0,759.0,356.0,403.0,,,,,,
2013,Universidad,Universidad Nacional del Centro de la Provincia de Buenos Aires,Universidad Nacional del Centro de la Provincia de Buenos Aires,Universidad Nacional del Centro de la Provincia de Buenos Aires - Unidad de Enseñanza Universitaria Quequen,Unidad de Enseñanza Universitaria Quequen,Unidad de Enseñanza Universitaria Quequen,Ingenieria,Estatal,Grado,Presencial,62.0,52.0,10.0,21.0,18.0,3.0,41.0,34.0,7.0,,,,,,
2014,Universidad,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste - Facultad de Ciencias Economicas,Facultad de Ciencias Economicas,Facultad de Ciencias Economicas,Ciencias Economicas,Estatal,Grado,Presencial,1988.0,1005.0,983.0,1115.0,578.0,537.0,873.0,427.0,446.0,,,,,,
2014,Universidad,Universidad Nacional del Centro de la Provincia de Buenos Aires,Universidad Nacional del Centro de la Provincia de Buenos Aires,Universidad Nacional del Centro de la Provincia de Buenos Aires - Unidad de Enseñanza Universitaria Quequen,Unidad de Enseñanza Universitaria Quequen,Unidad de Enseñanza Universitaria Quequen,Ingenieria,Estatal,Grado,Presencial,46.0,38.0,8.0,14.0,12.0,2.0,32.0,26.0,6.0,,,,,,
2015,Universidad,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste - Facultad de Ciencias Economicas,Facultad de Ciencias Economicas,Facultad de Ciencias Economicas,Ciencias Economicas,Estatal,Grado,Presencial,2196.0,1104.0,1092.0,1049.0,523.0,526.0,1147.0,581.0,566.0,,,,,,
2015,Universidad,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste - Facultad de Ciencias Economicas - Extension Aulica Bella Vista,Facultad de Ciencias Economicas - Extension Aulica Bella Vista,Facultad de Ciencias Economicas - Extension Aulica Bella Vista,Ciencias Economicas,Estatal,Grado,Presencial,4.0,1.0,3.0,,,,4.0,1.0,3.0,,,,,,
2015,Universidad,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste - Facultad de Ciencias Economicas - Extension aulica General Pinedo,Facultad de Ciencias Economicas - Extension aulica General Pinedo,Facultad de Ciencias Economicas - Extension aulica General Pinedo,Ciencias Economicas,Estatal,Grado,Presencial,78.0,42.0,36.0,53.0,30.0,23.0,25.0,12.0,13.0,,,,,,
2015,Universidad,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste - Facultad de Ciencias Economicas - Extension aulica Goya,Facultad de Ciencias Economicas - Extension aulica Goya,Facultad de Ciencias Economicas - Extension aulica Goya,Ciencias Economicas,Estatal,Grado,Presencial,91.0,40.0,51.0,57.0,28.0,29.0,34.0,12.0,22.0,,,,,,
2015,Universidad,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste - Facultad de Ciencias Economicas - Extension aulica Gral. Jose de San Martin,Facultad de Ciencias Economicas - Extension aulica Gral. Jose de San Martin,Facultad de Ciencias Economicas - Extension aulica Gral. Jose de San Martin,Ciencias Economicas,Estatal,Grado,Presencial,1.0,1.0,,,,,1.0,1.0,,,,,,,
2015,Universidad,Universidad Nacional del Centro de la Provincia de Buenos Aires,Universidad Nacional del Centro de la Provincia de Buenos Aires,Universidad Nacional del Centro de la Provincia de Buenos Aires - Unidad de Enseñanza Universitaria Quequen,Unidad de Enseñanza Universitaria Quequen,Unidad de Enseñanza Universitaria Quequen,Ingenieria,Estatal,Grado,Presencial,60.0,53.0,7.0,36.0,34.0,2.0,24.0,19.0,5.0,,,,,,
2016,Universidad,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste - Facultad de Ciencias Economicas,Facultad de Ciencias Economicas,Facultad de Ciencias Economicas,Ciencias Economicas,Estatal,Grado,Presencial,2266.0,1131.0,1135.0,1131.0,579.0,552.0,1135.0,552.0,583.0,0.0,0.0,0.0,,,
2016,Universidad,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste - Facultad de Ciencias Economicas - Extension aulica General Pinedo,Facultad de Ciencias Economicas - Extension aulica General Pinedo,Facultad de Ciencias Economicas - Extension aulica General Pinedo,Ciencias Economicas,Estatal,Grado,Presencial,51.0,30.0,21.0,35.0,18.0,17.0,16.0,12.0,4.0,0.0,0.0,0.0,,,
2016,Universidad,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste,Universidad Nacional del Nordeste - Facultad de Ciencias Economicas - Extension aulica Goya,Facultad de Ciencias Economicas - Extension aulica Goya,Facultad de Ciencias Economicas - Extension aulica Goya,Ciencias Economicas,Estatal,Grado,Presencial,68.0,42.0,26.0,36.0,24.0,12.0,32.0,18.0,14.0,0.0,0.0,0.0,,,
2016,Universidad,Universidad Nacional del Centro de la Provincia de Buenos Aires,Universidad Nacional del Centro de la Provincia de Buenos Aires,Universidad Nacional del Centro de la Provincia de Buenos Aires - Unidad de Enseñanza Universitaria Quequen,Unidad de Enseñanza Universitaria Quequen,Unidad de Enseñanza Universitaria Quequen,Ingenieria,Estatal,Grado,Presencial,63.0,51.0,12.0,32.0,22.0,10.0,31.0,29.0,2.0,0.0,0.0,0.0,,,
2017,Universidad,Universidad Torcuato Di Tella,Universidad Torcuato Di Tella,Universidad Torcuato Di Tella - Escuela de Negocios,Escuela de Negocios,Escuela de Negocios,Magister en Analisis y Gestion de Negocios,Privada,Posgrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017,Universidad,Universidad Torcuato Di Tella,Universidad Torcuato Di Tella,Universidad Torcuato Di Tella - Departamento de Ciencia Politica y Estudios Internacionales,Departamento de Ciencia Politica y Estudios Internacionales,Departamento de Ciencia Politica y Estudios Internacionales,Especialista en Estudios Internacionales,Privada,Posgrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional San Nicolas,Facultad Regional San Nicolas,Facultad Regional San Nicolas,Tecnicatura Universitario en Administracion Rural,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional San Francisco,Facultad Regional San Francisco,Facultad Regional San Francisco,Analista Universitario de Sistemas,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Mar del Plata,Facultad Regional Mar del Plata,Facultad Regional Mar del Plata,Tecnicatura Universitario Pesquero,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Trenque Lauquen,Facultad Regional Trenque Lauquen,Facultad Regional Trenque Lauquen,Tecnicatura Universitario en Administracion Rural,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Buenos Aires,Facultad Regional Buenos Aires,Facultad Regional Buenos Aires,"Doctor en Ingenieria, mencion Tecnologias Quimicas",Estatal,Posgrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional San Rafael,Facultad Regional San Rafael,Facultad Regional San Rafael,Magister en Inteligencia de Negocios,Estatal,Posgrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Santa Fe,Facultad Regional Santa Fe,Facultad Regional Santa Fe,Especialista en Transporte,Estatal,Posgrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Buenos Aires,Facultad Regional Buenos Aires,Facultad Regional Buenos Aires,Especialista en Reactores Nucleares,Estatal,Posgrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Concepcion del Uruguay,Facultad Regional Concepcion del Uruguay,Facultad Regional Concepcion del Uruguay,Magister en Ciencias de la Computacion con orientacion Bases de Datos,Estatal,Posgrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Cordoba,Facultad Regional Cordoba,Facultad Regional Cordoba,Magister en Energias Renovables - mencion Eolica,Estatal,Posgrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Cordoba,Facultad Regional Cordoba,Facultad Regional Cordoba,Magister en Energias Renovables - mencion Biomasa,Estatal,Posgrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Delta,Facultad Regional Delta,Facultad Regional Delta,Especialista en Ensayos Estructurales y no Destructivos,Estatal,Posgrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Delta,Facultad Regional Delta,Facultad Regional Delta,Especialista en Procesos Biotecnologicos,Estatal,Posgrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Buenos Aires,Facultad Regional Buenos Aires,Facultad Regional Buenos Aires,Magister en Energias Renovables - mencion Solar,Estatal,Posgrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Buenos Aires,Facultad Regional Buenos Aires,Facultad Regional Buenos Aires,Especialista en Procesos Biotecnologicos,Estatal,Posgrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional La Plata,Facultad Regional La Plata,Facultad Regional La Plata,Magister en Energias Renovables - mencion Solar,Estatal,Posgrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Haedo,Facultad Regional Haedo,Facultad Regional Haedo,Especialista en Tecnologia Aeroespacial,Estatal,Posgrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Haedo,Facultad Regional Haedo,Facultad Regional Haedo,Magister en Energias Renovables - mencion Eolica,Estatal,Posgrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Resistencia,Facultad Regional Resistencia,Facultad Regional Resistencia,Especialista en Preparacion y Evaluacion de Proyectos,Estatal,Posgrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Mendoza,Facultad Regional Mendoza,Facultad Regional Mendoza,Especialista en Computacion,Estatal,Posgrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Mendoza,Facultad Regional Mendoza,Facultad Regional Mendoza,Especialista en Redes de Datos - MD,Estatal,Posgrado,Distancia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Cordoba,Facultad Regional Cordoba,Facultad Regional Cordoba,Tecnicatura Universitario en Quimica,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional La Plata,Facultad Regional La Plata,Facultad Regional La Plata,Tecnicatura Universitario en Quimica,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Buenos Aires,Facultad Regional Buenos Aires,Facultad Regional Buenos Aires,Tecnicatura Universitario en Quimica,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,11.0,7.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional San Nicolas,Facultad Regional San Nicolas,Facultad Regional San Nicolas,Tecnicatura Universitario en Electronica,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Villa Maria,Facultad Regional Villa Maria,Facultad Regional Villa Maria,Tecnicatura Universitario en Quimica,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,6.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Delta,Facultad Regional Delta,Facultad Regional Delta,Analista Universitario de Sistemas,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Cordoba,Facultad Regional Cordoba,Facultad Regional Cordoba,Tecnicatura Universitario en Electronica,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Tucuman,Facultad Regional Tucuman,Facultad Regional Tucuman,Tecnicatura Universitario en Electronica,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,1.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Concepcion del Uruguay,Facultad Regional Concepcion del Uruguay,Facultad Regional Concepcion del Uruguay,Analista Universitario de Sistemas,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Rafaela,Facultad Regional Rafaela,Facultad Regional Rafaela,Tecnicatura Universitario en Administracion Rural,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Resistencia,Facultad Regional Resistencia,Facultad Regional Resistencia,Tecnicatura Universitario en Administracion Rural,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Rosario,Facultad Regional Rosario,Facultad Regional Rosario,Tecnicatura Universitario en Quimica,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,23.0,26.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Cordoba,Facultad Regional Cordoba,Facultad Regional Cordoba,Analista Universitario de Sistemas,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,9.0,1.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Haedo,Facultad Regional Haedo,Facultad Regional Haedo,Tecnicatura Universitario en Electronica,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Avellaneda,Facultad Regional Avellaneda,Facultad Regional Avellaneda,Tecnicatura Universitario en Quimica,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,6.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Villa Maria,Facultad Regional Villa Maria,Facultad Regional Villa Maria,Tecnicatura Universitario en Administracion Rural,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional San Nicolas,Facultad Regional San Nicolas,Facultad Regional San Nicolas,Tecnicatura Universitario en Metalurgica,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Villa Maria,Facultad Regional Villa Maria,Facultad Regional Villa Maria,Tecnicatura Universitario en Electronica,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional La Rioja,Facultad Regional La Rioja,Facultad Regional La Rioja,Tecnicatura Universitario en Electronica,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Bahia Blanca,Facultad Regional Bahia Blanca,Facultad Regional Bahia Blanca,Tecnicatura Universitario en Electronica,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional del Neuquen,Facultad Regional del Neuquen,Facultad Regional del Neuquen,Tecnicatura Universitario en Quimica,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Tierra del Fuego,Facultad Regional Tierra del Fuego,Facultad Regional Tierra del Fuego,Tecnicatura Universitario en Quimica,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Resistencia,Facultad Regional Resistencia,Facultad Regional Resistencia,Tecnicatura Universitario en Quimica,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,4.0,9.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Rosario,Facultad Regional Rosario,Facultad Regional Rosario,Analista Universitario de Sistemas,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,5.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Concordia,Facultad Regional Concordia,Facultad Regional Concordia,Tecnicatura Universitario en Administracion Rural,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Buenos Aires,Facultad Regional Buenos Aires,Facultad Regional Buenos Aires,Analista Universitario de Sistemas,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,21.0,1.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Villa Maria,Facultad Regional Villa Maria,Facultad Regional Villa Maria,Analista Universitario de Sistemas,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional San Francisco,Facultad Regional San Francisco,Facultad Regional San Francisco,Tecnicatura Universitario en Quimica,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,6.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional La Plata,Facultad Regional La Plata,Facultad Regional La Plata,Analista Universitario de Sistemas,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Delta,Facultad Regional Delta,Facultad Regional Delta,Tecnicatura Universitario en Quimica,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,6.0,4.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Resistencia,Facultad Regional Resistencia,Facultad Regional Resistencia,Analista Universitario de Sistemas,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,1.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Buenos Aires,Facultad Regional Buenos Aires,Facultad Regional Buenos Aires,Tecnicatura Universitario en Electronica,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Mendoza,Facultad Regional Mendoza,Facultad Regional Mendoza,Analista Universitario de Sistemas,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,
2017,Universidad,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional,Universidad Tecnologica Nacional - Facultad Regional Mendoza,Facultad Regional Mendoza,Facultad Regional Mendoza,Tecnicatura Universitario en Quimica,Estatal,Pregrado,Presencial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,7.0,,,
