anio,carrera_grupo,institucion_gestion,carrera_titulo_nivel,Modalidad,estudiantes_total,estudiantes_varones,estudiantes_mujeres,nuevos_inscriptos_total,nuevos_inscriptos_varones,nuevos_inscriptos_mujeres,egresados_total,egresados_varones,egresados_mujeres,estudiantes_mujeres_pct,inscripciones_mujeres_pct,estudiantes_hombres_pct
2011,Diseño,Privada,Grado,Presencial,8743.0,2516.0,6227.0,2273.0,663.0,1610.0,486.0,118.0,368.0,0.7122269243966601,0.708315002199736,0.2877730756033398
2011,Diseño,Privada,Posgrado,Presencial,142.0,57.0,85.0,58.0,24.0,34.0,17.0,6.0,11.0,0.5985915492957746,0.5862068965517241,0.4014084507042254
2011,Diseño,Privada,Pregrado,Presencial,3095.0,914.0,2181.0,1042.0,262.0,780.0,643.0,173.0,470.0,0.7046849757673668,0.7485604606525912,0.2953150242326333
2011,Economicas,Estatal,Grado,Distancia,8627.0,4149.0,4478.0,2290.0,1082.0,1208.0,336.0,130.0,206.0,0.5190680421931146,0.5275109170305677,0.48093195780688536
2011,Economicas,Estatal,Grado,Presencial,211120.0,92313.0,118807.0,35568.0,15982.0,19586.0,9365.0,4020.0,5345.0,0.5627463054187192,0.550663517768781,0.43725369458128077
2011,Economicas,Estatal,Posgrado,Presencial,9498.0,5243.0,4255.0,2839.0,1629.0,1210.0,711.0,399.0,312.0,0.4479890503263845,0.42620641070799575,0.5520109496736155
2011,Economicas,Estatal,Pregrado,Distancia,2132.0,957.0,1175.0,895.0,438.0,457.0,188.0,86.0,102.0,0.551125703564728,0.5106145251396648,0.44887429643527205
2011,Economicas,Estatal,Pregrado,Presencial,11159.0,5666.0,5493.0,3764.0,1938.0,1826.0,1776.0,768.0,1008.0,0.49224840935567704,0.4851222104144527,0.507751590644323
2011,Economicas,Privada,Grado,Distancia,11015.0,5092.0,5923.0,4758.0,2411.0,2347.0,176.0,72.0,104.0,0.5377212891511575,0.4932744850777638,0.4622787108488425
2011,Economicas,Privada,Grado,Presencial,56571.0,31347.0,25224.0,13179.0,7326.0,5853.0,4162.0,2105.0,2057.0,0.44588216577398315,0.44411563851582064,0.5541178342260169
2011,Economicas,Privada,Posgrado,Distancia,39.0,9.0,30.0,36.0,9.0,27.0,18.0,7.0,11.0,0.7692307692307693,0.75,0.23076923076923078
2011,Economicas,Privada,Posgrado,Presencial,5779.0,3806.0,1973.0,2450.0,1615.0,835.0,1166.0,781.0,385.0,0.34140854819172867,0.3408163265306122,0.6585914518082713
2011,Economicas,Privada,Pregrado,Distancia,1370.0,538.0,832.0,874.0,360.0,514.0,66.0,22.0,44.0,0.6072992700729927,0.5881006864988558,0.3927007299270073
2011,Economicas,Privada,Pregrado,Presencial,1095.0,576.0,519.0,409.0,227.0,182.0,1095.0,580.0,515.0,0.473972602739726,0.4449877750611247,0.5260273972602739
2011,Educacion,Estatal,Grado,Distancia,9880.0,1236.0,8644.0,3607.0,460.0,3147.0,576.0,51.0,525.0,0.8748987854251012,0.8724701968394788,0.12510121457489878
2011,Educacion,Estatal,Grado,Presencial,99772.0,24431.0,75341.0,27933.0,7577.0,20356.0,4294.0,931.0,3363.0,0.7551317002766307,0.7287437797587083,0.2448682997233693
2011,Educacion,Estatal,Posgrado,Distancia,93.0,31.0,62.0,74.0,24.0,50.0,0.0,0.0,0.0,0.6666666666666666,0.6756756756756757,0.3333333333333333
2011,Educacion,Estatal,Posgrado,Presencial,8570.0,2448.0,6122.0,2116.0,664.0,1452.0,545.0,137.0,408.0,0.7143523920653442,0.6862003780718336,0.28564760793465577
2011,Educacion,Estatal,Pregrado,Distancia,532.0,140.0,392.0,132.0,35.0,97.0,17.0,3.0,14.0,0.7368421052631579,0.7348484848484849,0.2631578947368421
2011,Educacion,Estatal,Pregrado,Presencial,6071.0,1132.0,4939.0,1431.0,318.0,1113.0,399.0,53.0,346.0,0.8135397792785373,0.7777777777777778,0.1864602207214627
2011,Educacion,Privada,Grado,Distancia,987.0,231.0,756.0,640.0,153.0,487.0,83.0,23.0,60.0,0.7659574468085106,0.7609375,0.23404255319148937
2011,Educacion,Privada,Grado,Presencial,8339.0,1858.0,6481.0,2938.0,704.0,2234.0,1302.0,313.0,989.0,0.7771915097733542,0.7603812117086454,0.2228084902266459
2011,Educacion,Privada,Posgrado,Distancia,4512.0,1090.0,3422.0,3231.0,866.0,2365.0,1284.0,267.0,1017.0,0.7584219858156028,0.7319715258433921,0.24157801418439717
2011,Educacion,Privada,Posgrado,Presencial,930.0,334.0,596.0,322.0,106.0,216.0,72.0,34.0,38.0,0.6408602150537634,0.6708074534161491,0.35913978494623655
2011,Educacion,Privada,Pregrado,Presencial,116.0,2.0,114.0,41.0,0.0,41.0,39.0,2.0,37.0,0.9827586206896551,1.0,0.017241379310344827
2011,Exactas,Estatal,Grado,Presencial,18697.0,9438.0,9259.0,4332.0,2057.0,2275.0,672.0,296.0,376.0,0.49521313579718673,0.5251615881809788,0.5047868642028133
2011,Exactas,Estatal,Posgrado,Presencial,2486.0,1087.0,1399.0,416.0,211.0,205.0,299.0,137.0,162.0,0.5627514078841512,0.49278846153846156,0.43724859211584877
2011,Exactas,Estatal,Pregrado,Presencial,2093.0,702.0,1391.0,605.0,198.0,407.0,453.0,180.0,273.0,0.6645962732919255,0.6727272727272727,0.33540372670807456
