universidad_nombre,institucion_nombre,institucion_direccion,api,coordenadas,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,lat,lon,departamento_id_x,departamento_nombre_x,municipio_id_x,municipio_nombre_x,provincia_id_x,provincia_nombre_x,latitud_x,longitud_x,departamento_id_y,departamento_nombre_y,municipio_id_y,municipio_nombre_y,provincia_id_y,provincia_nombre_y,latitud_y,longitud_y
Instituto Universitario Escuela Argentina de Negocios,Instituto Universitario Escuela Argentina de Negocios,Av. Cordoba 1690,,"-34.5997447,-58.3934405",,,,,,,,,,,,,,,,,,,,,,-34.5997447,-58.3934405,2021.0,Comuna 3,,,2.0,Ciudad Autonoma de Buenos Aires,-34.5997447,-58.393440500000004,02021,Comuna 3,,,02,Ciudad Autónoma de Buenos Aires,-34.5997447,-58.3934405
Instituto Universitario Escuela de Medicina del Hospital Italiano,Instituto Universitario Escuela de Medicina del Hospital Italiano,Potosi 4265,,"-34.6071979,-58.4291149",,,,,,,,,,,,,,,,,,,,,,-34.6071979,-58.4291149,2035.0,Comuna 5,,,2.0,Ciudad Autonoma de Buenos Aires,-34.6071979,-58.429114899999995,02035,Comuna 5,,,02,Ciudad Autónoma de Buenos Aires,-34.6071979,-58.4291149
Instituto Universitario Escuela Superior de Economia y Administracion de Empresas,Instituto Universitario Escuela Superior de Economia y Administracion de Empresas,Uriarte 2472,,"-34.5809241,-58.4253568",,,,,,,,,,,,,,,,,,,,,,-34.5809241,-58.4253568,2098.0,Comuna 14,,,2.0,Ciudad Autonoma de Buenos Aires,-34.580924100000004,-58.425356799999996,02098,Comuna 14,,,02,Ciudad Autónoma de Buenos Aires,-34.5809241,-58.4253568
Instituto Universitario ISEDET,Instituto Universitario ISEDET,Camacua 282,,"-34.6307959,-58.4656187",,,,,,,,,,,,,,,,,,,,,,-34.6307959,-58.4656187,2049.0,Comuna 7,,,2.0,Ciudad Autonoma de Buenos Aires,-34.630795899999995,-58.4656187,02049,Comuna 7,,,02,Ciudad Autónoma de Buenos Aires,-34.6307959,-58.4656187
Instituto Universitario Italiano de Rosario,Instituto Universitario Italiano de Rosario,Crespo 843,,"-32.9415838,-60.6705633",,,,,,,,,,,,,,,,,,,,,,-32.9415838,-60.6705633,82084.0,Rosario,,,82.0,Santa Fe,-32.9415838,-60.67056329999999,82084,Rosario,,,82,Santa Fe,-32.9415838,-60.6705633
"Instituto Universitario Nacional de Derechos Humanos ""Madres de Plaza de Mayo""","Instituto Universitario Nacional de Derechos Humanos ""Madres de Plaza de Mayo""",Av. Pueyrredon 19,,"-34.6097284,-58.4079993",,,,,,,,,,,,,,,,,,,,,,-34.6097284,-58.4079993,2021.0,Comuna 3,,,2.0,Ciudad Autonoma de Buenos Aires,-34.6097284,-58.4079993,02021,Comuna 3,,,02,Ciudad Autónoma de Buenos Aires,-34.6097284,-58.4079993
Instituto Universitario Nacional del Arte,Instituto Universitario Nacional del Arte,Azcuenaga 1129,,"-34.5946906,-58.4018519",,,,,,,,,,,,,,,,,,,,,,-34.5946906,-58.4018519,2014.0,Comuna 2,,,2.0,Ciudad Autonoma de Buenos Aires,-34.5946906,-58.4018519,02014,Comuna 2,,,02,Ciudad Autónoma de Buenos Aires,-34.5946906,-58.4018519
Instituto Universitario Naval,Instituto Universitario Naval,Francisco Narciso de Laprida 555,,"-34.5945248,-58.469703",,,,,,,,,,,,,,,,,,,,,,-34.5945248,-58.469703,2105.0,Comuna 15,,,2.0,Ciudad Autonoma de Buenos Aires,-34.594524799999995,-58.469703,02105,Comuna 15,,,02,Ciudad Autónoma de Buenos Aires,-34.5945248,-58.469703
Instituto Universitario Patagonico de las Artes,Instituto Universitario Patagonico de las Artes,"Rivadavia 2263,",,"-39.0178878,-67.5960898",,,,,,,,,,,,,,,,,,,,,,-39.0178878,-67.5960898,62042.0,General Roca,620161.0,Gral. Roca,62.0,Rio Negro,-39.0178878,-67.59608979999999,62042,General Roca,620161,Gral. Roca,62,Río Negro,-39.0178878,-67.5960898
Instituto Universitario River Plate,Instituto Universitario River Plate,Av. Pres. Figueroa Alcorta 7597,,"-34.5453018,-58.4519636",,,,,,,,,,,,,,,,,,,,,,-34.5453018,-58.4519636,2091.0,Comuna 13,,,2.0,Ciudad Autonoma de Buenos Aires,-34.5453018,-58.451963600000006,02091,Comuna 13,,,02,Ciudad Autónoma de Buenos Aires,-34.5453018,-58.4519636
