anio,carrera_grupo,carrera_titulo_nivel,Modalidad,estudiantes_total,estudiantes_varones,estudiantes_mujeres,nuevos_inscriptos_total,nuevos_inscriptos_varones,nuevos_inscriptos_mujeres,egresados_total,egresados_varones,egresados_mujeres,estudiantes_mujeres_pct,inscripciones_mujeres_pct,estudiantes_hombres_pct
2011,Exactas,Grado,Presencial,19139.0,9684.0,9455.0,4409.0,2099.0,2310.0,701.0,309.0,392.0,3.0549273021001615,2.216890595009597,3.12891760904685
2011,Exactas,Posgrado,Presencial,2486.0,1087.0,1399.0,416.0,211.0,205.0,299.0,137.0,162.0,0.16216529500405702,0.08951965065502183,0.12599976816969977
2011,Exactas,Pregrado,Presencial,2093.0,702.0,1391.0,605.0,198.0,407.0,462.0,182.0,280.0,0.0065886699507389165,0.011442869995501575,0.0033251231527093596
2011,"Hoteleria, Gastronomia y Turismo",Grado,Distancia,1321.0,322.0,999.0,441.0,109.0,332.0,99.0,14.0,85.0,0.10518003790271636,0.11694258541740049,0.03390187407875342
2011,"Hoteleria, Gastronomia y Turismo",Grado,Presencial,18760.0,5942.0,12818.0,4516.0,1518.0,2998.0,807.0,196.0,611.0,6.012195121951219,3.3497206703910614,2.7870544090056284
2011,"Hoteleria, Gastronomia y Turismo",Posgrado,Presencial,181.0,113.0,68.0,52.0,24.0,28.0,7.0,3.0,4.0,0.00609373599784927,0.007438894792773645,0.010126355408190698
2011,"Hoteleria, Gastronomia y Turismo",Pregrado,Distancia,792.0,237.0,555.0,399.0,175.0,224.0,59.0,8.0,51.0,0.050385837494325916,0.047078604455653636,0.021516114389468904
2011,"Hoteleria, Gastronomia y Turismo",Pregrado,Presencial,4736.0,1607.0,3129.0,1509.0,569.0,940.0,541.0,143.0,398.0,0.05531102508352336,0.0713255937476288,0.028406780859450954
2011,Informatica,Grado,Distancia,3264.0,2575.0,689.0,1298.0,1061.0,237.0,148.0,98.0,50.0,17.666666666666668,6.583333333333333,66.02564102564102
2011,Informatica,Grado,Presencial,135439.0,110353.0,25086.0,27308.0,22964.0,4344.0,4800.0,3542.0,1258.0,4.340889427236546,1.7730612244897959,19.09551825575359
