universidad_nombre,institucion_nombre,institucion_direccion,api,coordenadas,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,lat,lon,departamento_id_x,departamento_nombre_x,municipio_id_x,municipio_nombre_x,provincia_id_x,provincia_nombre_x,latitud_x,longitud_x,departamento_id_y,departamento_nombre_y,municipio_id_y,municipio_nombre_y,provincia_id_y,provincia_nombre_y,latitud_y,longitud_y,carrera_grupo,carrera_titulo
Universidad de San Andres,Universidad de San Andres,Vito Dumas 284,,"-34.4461156,-58.5321377",,,,,,,,,,,,,,,,,,,,,,-34.4461156,-58.5321377,6749.0,San Fernando,60749.0,San Fernando,6.0,Buenos Aires,-34.4461156,-58.5321377,6749.0,San Fernando,60749.0,San Fernando,6.0,Buenos Aires,-34.4461156,-58.5321377,"Sociales,Otros,Juridicas,Economicas,Diseño,Educacion,Comunicacion,Ingenieria","Licenciatura en Diseño,Especialista en Educacion con Orientacion en Gestion Educativa,Abogado,Magister en Finanzas,Licenciatura en Comunicacion,Licenciatura en Administracion de Empresas,Licenciatura en Finanzas,Magister en Educacion con orientacion en Gestion Educativa,Especialista en Gestion de Negocios,Magister en Politica y Economia Internacionales,Licenciatura en Economia,Profesor Universitario para el nivel secundario y superior (con el titulo de base que corresponda) - Ciclo de CC,Magister en Derecho Empresario,Magister en Administracion de Negocios,Especialista en Gestion de Servicios Tecnologicos y de Telecomunicaciones,Especialista en Derecho Empresario,Doctor en Historia,Especialista en Gestion de las Telecomunicaciones,Contador Publico,Magister en Estudios Organizacionales,Magister en Gestion de Servicios Tecnologicos y de Telecomunicaciones,Magister en Educacion con Orientacion en Gestion Educativa,Especialista en Organizaciones sin Fines de Lucro,Especialista en Educacion,Magister en Marketing,Especialista en Educacion con orientacion en Gestion Educativa,Magister en Marketing y Comunicacion,Especialista en Gestion Estrategica de los Recursos Humanos,Magister en Economia,Magister en Gestion y Direccion de Recursos Humanos,Doctor en Educacion,Especialista en Finanzas,Especialista en Marketing,Magister en Educacion,Magister en Investigacion Historica,Licenciatura en Humanidades,Profesor en Ciencias de la Educacion,Licenciatura en Ciencia Politica,Magister en Periodismo,Magister en Administracion y Politicas Publicas,Profesor Universitaria para el nivel secundario y superior (con el titulo de base que corresponda) - Ciclo de CC,Licenciatura en Relaciones Internacionales,Licenciatura en Ciencias de la Educacion,Doctor en Economia"
"Universidad de San Isidro ""Dr. Placido Marin""","Universidad de San Isidro ""Dr. Placido Marin""",Av. del Libertador 17175,,"-34.4617796,-58.5203287",,,,,,,,,,,,,,,,,,,,,,-34.4617796,-58.5203287,6756.0,San Isidro,60756.0,San Isidro,6.0,Buenos Aires,-34.4617796,-58.5203287,6756.0,San Isidro,60756.0,San Isidro,6.0,Buenos Aires,-34.4617796,-58.5203287,"Educacion,Comunicacion,Juridicas,Economicas","Licenciatura en Administracion de Negocios,Abogado,Licenciatura en Comunicacion Social,Licenciatura en Ciencias de la Educacion"
Universidad del Aconcagua,Universidad del Aconcagua,Catamarca 147,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Catamarca 147&provincia=50,"-32.889702977248035,-68.836339205674",,,,,,,,,,,,,,,,,,,,,,-32.889702977248035,-68.836339205674,50007.0,Capital,500007.0,Capital,50.0,Mendoza,-32.889702977248,-68.836339205674,50007.0,Capital,500007.0,Capital,50.0,Mendoza,-32.889702977248035,-68.836339205674,"Otros,Juridicas,Hoteleria, Gastronomia y Turismo,Economicas,Psicologia,Diseño,Informatica,Educacion,Comunicacion,Ingenieria,Salud","Licenciatura en Telecomunicaciones,Licenciatura en Informatica,Licenciatura en Turismo - Ciclo de Licenciatura,Profesor Universitario de Ingles,Licenciatura en Turismo y Hoteleria,Licenciatura en Educacion Fisica con Orientacion en Fisiologia del Trabajo Fisico y Rendimiento Humano - Ciclo de Licenciatura,Tecnicatura Universitaria en Ceremonial,Especialista en Interpretacion Bilateral Ingles-Español / Español-Ingles,Abogado,Tecnicatura Universitario en Documentologia,Master en Criminologia,Magister en Psicoterapia Sistemica,Licenciatura en Enfermeria - Ciclo de Licenciatura,Licenciatura en Niñez, Adolescencia y Familia,Traductor Publico de Ingles,Medico,Licenciatura en Educacion Fisica con orientacion en Fisiologia del Trabajo Fisico y Rendimiento Humano - Ciclo de Licenciatura,Licenciatura en Economia,Licenciatura en Comercializacion,Licenciatura de Ingles,Licenciatura en Obstetricia,Licenciatura en Fonoaudiologia,Licenciatura en Relaciones Institucionales,Licenciatura en Seguridad Ciudadana - Ciclo de Licenciatura,Licenciatura en Marketing,Contador Publico,Profesor Universitario en Lengua y Cultura Inglesa,Especialista en neuropsicologia,Licenciatura en Calidad, Medio Ambiente e Higiene y Seguridad en el Trabajo,Licenciatura en Psicologia,Licenciatura en Minoridad y Familia,Licenciatura en Criminalistica,Doctor en Psicologia,Contador Publico Nacional,Especialista en Medicina Social y Comunitaria,Licenciatura en Higiene y Seguridad en el Trabajo - Ciclo de Licenciatura,Profesor en Psicologia,Licenciatura en Publicidad,Tecnicatura Universitario en Seguridad Ciudadana,Magister en Psicoanalisis,Escribano,Sommelier,Licenciatura en Administracion Gastronomica - Ciclo de Licenciatura,Licenciatura en Comercio Internacional,Licenciatura en Administracion Hotelera - Ciclo de Licenciatura,Licenciatura en Ingles - Ciclo de Licenciatura,Ingenieria en Telecomunicaciones,Licenciatura en Gestion de la Educacion - Ciclo de Licenciatura,Profesor de Grado Universitario - Ciclo de Profesorado,Profesor Universitaria de Ingles,Licenciatura en Diseño Grafico - Ciclo de Licenciatura,Licenciatura en Administracion de Salud - Ciclo de Licenciatura,Licenciatura en Diseño Grafico,Licenciatura en Administracion,Tecnicatura Universitaria en Seguridad Ciudadana,Ingenieria en Software,Tecnicatura Universitaria en Documentologia,Licenciatura en Informatica y Desarrollo de Software,Licenciatura en Fonoaudiologia - Ciclo de Licenciatura,Tecnicatura Universitario en Ceremonial,Licenciatura en Produccion de Bioimagenes - Ciclo de Licenciatura,Profesor Universitaria en Lengua y Cultura Inglesa,Profesor de Grado Universitaria - Ciclo de Profesorado,Tecnicatura Universitario en Acompañamiento Terapeutico"
Universidad del CEMA,Universidad del CEMA,Av. Cordoba 374,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Cordoba 374&provincia=2,"-34.598493489787174,-58.37246198342438",,,,,,,,,,,,,,,,,,,,,,-34.598493489787174,-58.37246198342439,2007.0,Comuna 1,,,2.0,Ciudad Autonoma de Buenos Aires,-34.598493489787195,-58.372461983424394,2007.0,Comuna 1,,,2.0,Ciudad Autónoma de Buenos Aires,-34.598493489787174,-58.37246198342439,"Sociales,Otros,Juridicas,Economicas,Informatica,Comunicacion","Magister en Agronegocios,Magister en Estudios Internacionales,Licenciatura/a en Recursos Humanos,Magister en Direccion de Empresas,Magister en Finanzas,Licenciatura en Economia,Doctor en Finanzas,Abogado/a,Licenciatura en Marketing,Contador Publico,Licenciatura en Direccion de Empresas,Magister en Ciencias del Estado,Magister en Economia,Magister en Finanzas Bancarias,Ingenieria en Informatica,Analista en Informatica,Especialista en Finanzas,Licenciatura en Ciencia Politica,Licenciatura en Relaciones Internacionales,Especialista en Gestion de Proyectos,Doctor en Economia,Doctor en Direccion de Empresas,Magister en Evaluacion de Proyectos"
Universidad del Centro Educativo Latinoamericano,Universidad del Centro Educativo Latinoamericano,Av. Pellegrini 1332,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Av. Pellegrini 1332&provincia=82,"-32.9565784932488,-60.6441042488731",,,,,,,,,,,,,,,,,,,,,,-32.9565784932488,-60.6441042488731,82084.0,Rosario,,,82.0,Santa Fe,-32.9565784932488,-60.6441042488731,82084.0,Rosario,,,82.0,Santa Fe,-32.9565784932488,-60.6441042488731,"Sociales,Juridicas,Otros,Hoteleria, Gastronomia y Turismo,Economicas,Informatica,Educacion,Naturales,Comunicacion,Ingenieria,Salud","Especialista en Sindicatura Concursal,Abogado,Analista Universitaria en Sistemas de Informacion,Tecnicatura Universitario en Nutricion,Licenciatura en Lengua y Literatura Inglesas,Tecnicatura Universitaria en Nutricion,Licenciatura en Administracion de Empresas,Especialista en Prevencion del Conflicto Juridico en la Pequeña y Mediana Empresa,Especialista en Gestion Educativa,Ingenieria en Tecnologia de los Alimentos,Licenciatura en Economia,Analista Universitario en Gestion de las Organizaciones Productivas,Analista Universitario en Sistemas de Informacion,Licenciatura en Comercializacion,Contador Publico,Licenciatura en Gestion de las Organizaciones Productivas,Tecnicatura Universitario en Alimentos,Analista Universitario en Administracion de Empresas,Ingenieria en Sistemas de Informacion,Analista Universitario en Comercializacion,Profesor Universitario - Ciclo de Profesorado,Traductor Publico Nacional en Ingles - Ciclo de Traductorado,Ingenieria en Tecnologia de Alimentos,Magister en Relaciones Laborales y Recursos Humanos,Licenciatura en Nutricion,Analista Universitaria en Administracion de Empresas (Contador Publico),Martillero Publico y Corredor Inmobiliario,Especialista en Gestion Ambiental,Licenciatura en Relaciones Laborales,Profesor Universitaria - Ciclo de Profesorado,Licenciatura en Administracion Hotelera,Analista Universitaria en Comercializacion,Analista Universitaria en Administracion de Empresas,Licenciatura en Administracion de Empresas de Turismo - Ciclo de Complementacion Curricular,Analista en Relaciones Laborales,Tecnicatura Universitaria en Alimentos,Especialista en Nutricion Materno Infantil"
Universidad del Cine,Universidad del Cine,Dr. Jose Modesto Giuffra 330,,"-34.617846,-58.3728309",,,,,,,,,,,,,,,,,,,,,,-34.617846,-58.372830900000004,2007.0,Comuna 1,,,2.0,Ciudad Autonoma de Buenos Aires,-34.617846,-58.3728309,2007.0,Comuna 1,,,2.0,Ciudad Autónoma de Buenos Aires,-34.617846,-58.372830900000004,"Artes,Sociales,Otros,Educacion,Comunicacion","Licenciatura en Cinematografia, orientacion Direccion,Profesor en Cinematografia, orientacion Guion,Director en Cine de Animacion y Multimedia,Licenciatura en Cinematografia, Orientacion Direccion,Licenciatura en Cinematografia, orientacion Iluminacion y Camara,Profesor en Cinematografia, Orientacion Direccion,Licenciatura en Cinematografia, Orientacion Guion,Profesor en Cinematografia, Orientacion Produccion,Profesor en Comunicacion Visual, orientacion Diseño Grafico,Escenografo y Vestuarista Cinematografico,Licenciatura en Cinematografia, orientacion Compaginacion,Licenciatura en Cinematografia, orientacion Guion,Licenciatura en Comunicacion Visual, orientacion Artes Visuales,Ciclo de Iniciacion,Profesor en Comunicacion Visual, Orientacion Artes Visuales,Profesor en Cinematografia, Orientacion Compaginacion,Productor Cinematografico,Profesor en Cinematografia, orientacion Historia y Teoria y Critica del Cine,Profesor en Cinematografia, Orientacion Guion,Profesor en Cinematografia, orientacion Produccion,Licenciatura en Cinematografia, orientacion Historia y Teoria y Critica del Cine,Comunicador Visual, Orientacion Diseño Grafico,Profesor en Cinematografia, orientacion Escenografia y Vestuario,Director Cinematografico,Profesor en Cinematografia, Orientacion Escenografia y Vestuario,Iluminador y Camarografo Cinematografico,Licenciatura en Cinematografia, Orientacion Iluminacion y Camara,Comunicador Visual, orientacion Diseño Grafico,Licenciatura en Cinematografia, Orientacion Produccion,Critico Cinematografico,Licenciatura en Comunicacion Visual, Orientacion Artes Visuales,Guionista Cinematografico,Licenciatura en Cinematografia, Orientacion Compaginacion,Compaginador Cinematografico,Comunicador Visual, orientacion Procesos Educativos,Comunicador Visual, orientacion Artes Visuales,Magister en Cine Documental,Licenciatura en Cine de Animacion y Multimedia,Licenciatura en Cinematografia, orientacion Escenografia y Vestuario,Comunicador Visual, Orientacion Artes Visuales,Licenciatura en Cinematografia, orientacion Produccion,Profesor en Cinematografia, orientacion Compaginacion,Licenciatura en Comunicacion Visual, orientacion Diseño Grafico,Profesor en Comunicacion Visual, orientacion Artes Visuales,Profesor en Cinematografia, orientacion Iluminacion y Camara,Profesor en Cinematografia, Orientacion Iluminacion y Camara,Profesor en Cinematografia, orientacion Direccion,Licenciatura en Comunicacion Visual, orientacion Procesos Educativos,Licenciatura en Cinematografia, Orientacion Escenografia y Vestuario,Profesor en Comunicacion Visual, orientacion Procesos Educativos"
Universidad del Congreso,Universidad del Congreso,Maipu 942,http://apis.datos.gob.ar/georef/api/direcciones?direccion=Maipu 942&provincia=2,"-34.597041549129365,-58.37693167637579",,,,,,,,,,,,,,,,,,,,,,-34.597041549129365,-58.37693167637579,2007.0,Comuna 1,,,2.0,Ciudad Autonoma de Buenos Aires,-34.5970415491294,-58.3769316763758,2007.0,Comuna 1,,,2.0,Ciudad Autónoma de Buenos Aires,-34.597041549129365,-58.37693167637579,"Sociales,Juridicas,Hoteleria, Gastronomia y Turismo,Arquitectura y Urbanismo,Economicas,Psicologia,Informatica,Educacion,Naturales,Comunicacion","Licenciatura en Comercializacion con Orientacion en Comercializacion Internacional,Licenciatura en Comercio Exterior,Profesor en Ciencias de la Educacion,Licenciatura en Comercializacion,Licenciatura en Gestion Ambiental,Abogado,Licenciatura en Administracion,Contador Publico,Arquitecto,Licenciatura en Turismo,Licenciatura en Sistemas de Informacion,Licenciatura en Comunicacion,Licenciatura en Relaciones Internacionales,Licenciatura en Ciencias de la Educacion,Licenciatura en Psicologia,Licenciatura en Economia"
Universidad del Este,Universidad del Este,Calle 2 684,,"-34.9072705,-57.9504423",,,,,,,,,,,,,,,,,,,,,,-34.9072705,-57.95044229999999,6441.0,La Plata,60441.0,La Plata,6.0,Buenos Aires,-34.9072705,-57.95044229999999,6441.0,La Plata,60441.0,La Plata,6.0,Buenos Aires,-34.9072705,-57.95044229999999,"Juridicas,Otros,Hoteleria, Gastronomia y Turismo,Economicas,Diseño,Educacion,Comunicacion","Tecnicatura en Diseño de Indumentaria,Abogado,Tecnicatura en Diseño Grafico,Traductor Publico en Ingles,Tecnicatura en Relaciones Publicas,Licenciatura en Diseño de Indumentaria,Tecnicatura en Diseño de Interiores,Tecnicatura en Administracion,Licenciatura en Comercializacion,Licenciatura en Gestion Educativa - Ciclo de Licenciatura,Contador Publico,Licenciatura en Turismo,Tecnicatura Contable,Licenciatura en Relaciones Publicas,Licenciatura en Publicidad,Licenciatura en Diseño de Interiores,Procurador,Profesor Universitaria,Tecnicatura en Comercializacion,Licenciatura en Diseño Grafico,Licenciatura en Administracion,Tecnicatura en Publicidad,Profesor Universitario"
Universidad del Museo Social Argentino,Universidad del Museo Social Argentino,Av. Corrientes 1723,,"-34.6047031,-58.3922666",,,,,,,,,,,,,,,,,,,,,,-34.6047031,-58.3922666,2021.0,Comuna 3,,,2.0,Ciudad Autonoma de Buenos Aires,-34.6047031,-58.3922666,2021.0,Comuna 3,,,2.0,Ciudad Autónoma de Buenos Aires,-34.6047031,-58.3922666,"Artes,Sociales,Juridicas,Otros,Hoteleria, Gastronomia y Turismo,Comunicacion,Economicas,Diseño,Educacion,Naturales,Psicologia,Salud","Licenciatura en Peritaje y Valuacion de Obras de Arte,Profesor en Artes Visuales para Educacion Inicial, PriMaria, Media,Licenciatura en Diseño del Paisaje - Ciclo de Licenciatura,Abogado,Licenciatura en Produccion Integral de Radio y Television,Licenciatura en Bibliotecologia y Documentacion,Tecnicatura en Conservacion de Obras de Arte,Traductor Publico (Idioma Frances),Traductor Publico (Idioma Italiano),Licenciatura en Museologia y Gestion del Patrimonio Cultural,Traductor Publico (Idioma Ingles),Doctor en Ciencias Empresariales,Licenciatura en Conservacion y Restauracion de Bienes Culturales,Licenciatura en Comunicacion Audiovisual - Ciclo de Licenciatura,Doctor en Servicio Social,Licenciatura en Curaduria e Historia de las Artes,Licenciatura en Museologia,Interprete en Idioma Ingles,Licenciatura en Servicio Social,Analista Universitaria en Gestion Administrativo Contable,Licenciatura en Industria de la Hospitalidad - Ciclo de Licenciatura,Magister en Organizacion y Direccion de Empresas,Magister en Aspectos Bioeticos y Juridicos de la Salud,Licenciatura en Comercio Internacional - Ciclo de Licenciatura,Licenciatura en Comunicacion Audiovisual,Doctor en Ciencias Juridicas,Especialista en Derecho Procesal Penal,Martillero Publico y Corredor de Comercio,Licenciatura en Comercializacion,Doctor en Ciencias Juridicas y Sociales,Profesor de Ingles,Licenciatura en Fonoaudiologia,Licenciatura en Recursos Humanos,Magister en Psicologia Comunitaria,Contador Publico,Fonoaudiologo,Tecnicatura Universitaria en Historia de las Artes,Licenciatura en Ciencias de la Educacion - Ciclo de Licenciatura,Licenciatura en Periodismo - Ciclo de Licenciatura,Licenciatura en Psicologia,Licenciatura en Psicologia - Ciclo de Licenciatura,Licenciatura en Periodismo con Orientacion Grafica,Tecnicatura Museografo,Magister en Consultoria y Gestion de Organizaciones,Licenciatura en Psicopedagogia,Periodista,Magister en Familia y Discapacidad,Traductor Literario y de Especialidad (Idioma Ingles),Licenciatura en Diseño de Interiores - Ciclo de Licenciatura,Especialista en Audiologia,Magister en Derecho Procesal Penal,Licenciatura en Comercio Internacional,Especialista en Violencia Familiar,Especialista en Asesoramiento Empresario,Licenciatura en Periodismo con Orientacion Audiovisual,Analista Universitario en Gestion Administrativo Contable,Licenciatura en Bibliotecologia y Sistemas de Informacion,Licenciatura en Administracion,Licenciatura en Relaciones Laborales,Tecnicatura Universitario en Historia de las Artes,Profesor Universitaria - Ciclo de Profesorado,Magister en Negociaciones Colectivas del Trabajo,Especialista en Peritaje de Pintura Argentina,Especialista en Magistratura y Ministerio Publico,Especialista en Tributacion,Doctor en Fonoaudiologia,Licenciatura en Artes Visuales - Ciclo de Licenciatura,Licenciatura en Ciencias de la Educacion,Tecnicatura en Expertizaje y Valuacion de Obras de Arte,Licenciatura en Psicopedagogia - Ciclo de Licenciatura,Magister en Bioetica,Licenciatura en Artes Visuales"
Universidad del Norte Santo Tomas de Aquino,Universidad del Norte Santo Tomas de Aquino,9 de Julio 165,http://apis.datos.gob.ar/georef/api/direcciones?direccion=9 de Julio 165,"-26.832849,-65.2075185",,,,,,,,,,,,,,,,,,,,,,-26.832849,-65.2075185,90084.0,Capital,900014.0,Municipalidad de San Miguel De Tucuman,90.0,Tucuman,-26.832849,-65.2075185,90084.0,Capital,900014.0,Municipalidad de San Miguel De Tucuman,90.0,Tucumán,-26.832849,-65.2075185,"Sociales,Otros,Juridicas,Hoteleria, Gastronomia y Turismo,Economicas,Psicologia,Diseño,Informatica,Educacion,Naturales,Comunicacion,Ingenieria,Salud","Licenciatura en Higiene y Seguridad Laboral,Licenciatura en Ciencias Politicas,Profesor en Ciencias de la Religion,Abogado,Bachiller Universitario en Filosofia,Licenciatura en Administracion de Empresas,Licenciatura en Educacion para el 1º y 2º Ciclo de la Educacion General Basica,Tecnicatura en Diseño Multimedial,Profesor de Enseñanza Secundaria, Normal y Especial en Filosofia,Licenciatura en Gastronomia,Tecnicatura en Gestion Agropecuaria,Licenciatura en Teologia,Licenciatura en Comercializacion,Licenciatura en Recursos Humanos,Locutor Nacional,Tecnicatura Universitaria en Comercializacion,Licenciatura en Filosofia,Contador Publico,Licenciatura en Turismo,Tecnicatura Universitario en Comercializacion,Magister en Direccion y Administracion de Empresas,Licenciatura en Logistica y Gestion de Transportes,Licenciatura en Psicologia,Notario,Tecnicatura en Higiene y Seguridad Laboral,Bachiller en Teologia,Profesor en Ciencias Politicas - Ciclo de Complementacion Curricular,Procurador,Licenciatura en Diagnostico por Imagenes,Tecnicatura Universitario en Diagnostico por Imagenes,Ingenieria en Informatica,Licenciatura en Ciencias de la Religion,Licenciatura en Terapia Ocupacional,Licenciatura en Nutricion,Tecnicatura en Empresas Turisticas,Licenciatura en Administracion Educativa,Licenciatura en Ciencia Politica,Tecnicatura Universitario en Periodismo,Licenciatura en Diseño Grafico,Profesor en Derecho,Magister en Magistratura y Gestion Judicial,Profesor en Filosofia,Magister en Informatica,Licenciatura en Comunicacion Social,Licenciatura en Ciencias de la Educacion,Licenciatura en Enseñanza de la Economia y la Gestion Organizacional,Ingenieria Industrial,Licenciatura en Diseño Multimedial,Licenciatura en Gestion Ambiental y Ecologia"
